Date,Revenue,OrderCount,UniqueCustomers,AvgOrderValue
2009-12-06,231188.51,510,425,453.31080392156866
2009-12-13,206940.73,492,410,420.6112398373984
2009-12-20,206912.87,441,359,469.19018140589566
2009-12-27,35543.9,65,54,546.8292307692308
2010-01-03,0.0,0,0,0.0
2010-01-10,167028.95,191,167,874.4971204188482
2010-01-17,124624.61,240,198,519.2692083333334
2010-01-24,118871.351,253,220,469.84723715415015
2010-01-31,142587.761,322,277,442.81913354037266
2010-02-07,111487.692,266,225,419.1266616541353
2010-02-14,78671.66,254,226,309.7309448818898
2010-02-21,160418.402,279,233,574.9763512544803
2010-02-28,151246.202,300,240,504.15400666666665
2010-03-07,150514.36000000002,350,297,430.0410285714286
2010-03-14,118047.1,282,243,418.6067375886525
2010-03-21,164051.771,324,273,506.3326265432099
2010-03-28,171185.68,372,319,460.1765591397849
2010-04-04,118130.62,266,213,444.10007518796994
2010-04-11,123675.76,269,228,459.76118959107805
2010-04-18,140629.381,291,242,483.26247766323024
2010-04-25,137973.62,356,286,387.5663483146067
2010-05-02,169956.751,375,326,453.2180026666666
2010-05-09,148275.83,315,258,470.7169206349206
2010-05-16,155013.54,344,296,450.6207558139535
2010-05-23,137592.57,319,266,431.324670846395
2010-05-30,141429.27,354,311,399.51771186440675
2010-06-06,90081.06,240,205,375.33774999999997
2010-06-13,199249.51,439,368,453.8713211845103
2010-06-20,126349.39,315,266,401.1091746031746
2010-06-27,103486.84,286,245,361.84209790209786
2010-07-04,169046.57,353,309,478.8854674220963
2010-07-11,136053.12,311,266,437.4698392282958
2010-07-18,144064.58,325,261,443.2756307692307
2010-07-25,132878.5,307,275,432.828990228013
2010-08-01,149044.98,318,273,468.6949056603774
2010-08-08,117052.49,282,252,415.0797517730497
2010-08-15,139305.07,291,241,478.71158075601375
2010-08-22,153984.91,314,262,490.3978025477707
2010-08-29,135882.55,313,273,434.12955271565494
2010-09-05,122576.55,265,230,462.55301886792455
2010-09-12,118365.94,298,262,397.20114093959734
2010-09-19,154468.921,358,302,431.47743296089385
2010-09-26,222980.04,440,323,506.7728181818182
2010-10-03,301285.66,512,412,588.4485546875
2010-10-10,241530.44,492,410,490.9155284552846
2010-10-17,296918.04,530,449,560.2227169811321
2010-10-24,219662.67,519,435,423.2421387283237
2010-10-31,195882.45,445,386,440.18528089887644
2010-11-07,261394.91,494,406,529.1394939271255
2010-11-14,281275.751,618,491,455.1387556634304
2010-11-21,258225.06100000002,606,505,426.1139620462046
2010-11-28,244985.99,645,542,379.8232403100775
2010-12-05,260185.38,615,466,423.0656585365854
2010-12-12,210989.13,488,406,432.35477459016397
2010-12-19,161749.12,400,335,404.3728
2010-12-26,45489.51,108,86,421.1991666666667
2011-01-02,0.0,0,0,0.0
2011-01-09,113554.8,224,207,506.94107142857143
2011-01-16,152948.85,233,212,656.4328326180258
2011-01-23,174203.23,205,186,849.7718536585367
2011-01-30,103839.0,266,244,390.3721804511278
2011-02-06,104595.81,272,247,384.54341911764703
2011-02-13,87317.94,197,183,443.23827411167514
2011-02-20,125057.15,266,236,470.1396616541353
2011-02-27,129652.77,267,245,485.59089887640454
2011-03-06,116491.82,267,242,436.29895131086147
2011-03-13,111795.93000000001,269,229,415.5982527881041
2011-03-20,136539.82,304,268,449.1441447368421
2011-03-27,127478.72,297,270,429.22127946127944
2011-04-03,142061.58,318,278,446.73452830188677
2011-04-10,119060.73,294,265,404.9684693877551
2011-04-17,133959.871,343,302,390.5535597667639
2011-04-24,115199.4,248,221,464.51370967741934
2011-05-01,72659.06,193,171,376.47181347150257
2011-05-08,122023.37,340,289,358.8922647058823
2011-05-15,177142.32,386,311,458.9179274611399
2011-05-22,194680.79,429,349,453.80137529137534
2011-05-29,145642.61,327,261,445.390244648318
2011-06-05,100830.37,238,212,423.65701680672265
2011-06-12,192352.12,372,333,517.0755913978494
2011-06-19,170404.42,341,286,499.71970674486806
2011-06-26,110672.67,303,263,365.25633663366335
2011-07-03,116019.82,255,205,454.97968627450985
2011-07-10,130390.52,310,269,420.6145806451613
2011-07-17,116102.79000000001,303,261,383.1775247524753
2011-07-24,166292.54,325,283,511.66935384615385
2011-07-31,162800.541,322,277,505.59174223602486
2011-08-07,154722.05,302,275,512.3246688741722
2011-08-14,142536.62,255,225,558.9671372549019
2011-08-21,166648.4,307,275,542.828664495114
2011-08-28,146243.96,345,301,423.895536231884
2011-09-04,112693.34,251,226,448.9774501992032
2011-09-11,164657.3,374,313,440.2601604278075
2011-09-18,208050.3,345,302,603.0443478260869
2011-09-25,306021.451,445,383,687.6886539325843
2011-10-02,191844.35,425,374,451.3984705882353
2011-10-09,293886.99,470,390,625.2914680851063
2011-10-16,201158.44,425,361,473.3139764705882
2011-10-23,252543.95,427,366,591.4378220140516
2011-10-30,233225.54,500,422,466.45108
2011-11-06,256827.44,507,441,506.5629980276134
2011-11-13,261135.17,606,516,430.91612211221127
2011-11-20,271134.62,669,569,405.2834379671151
2011-11-27,244631.57,592,492,413.22900337837837
2011-12-04,247079.28,631,514,391.5677971473851
2011-12-11,404543.71,482,415,839.3023029045644
