Feature,MeanAbsSHAP
Monetary,0.47709844
RecencyFrequency,0.20494403
RevenuePerDay,0.14732763
SpendLast90Days,0.12915502
SpendPrior90Days,0.1093791
AvgGapDays,0.08217126
AvgBasketValue,0.07512767
StdGapDays,0.07462733
Frequency,0.07066418
Recency,0.05894672
UniqueProducts,0.05281706
PurchaseRate,0.049865004
ReturnRate,0.048093315
AvgSpendPerProduct,0.043663375
PurchasesLast90Days,0.042671762
AvgQuantity,0.033882093
ProductDiversityRate,0.030589761
SpendTrendRatio,0.021291489
SpendLast30Days,0.019594627
LifetimeDays,0.016982619
FrequencyLast90DaysRatio,0.012547098
PurchasesPrior90Days,0.007231627
PurchasesLast30Days,0.0011881993
IsNewCustomer,0.0
AvgGapDaysMissing,0.0
