iter	RMSE
0	3.266789486
1	3.258119636
2	3.249609668
3	3.241045486
4	3.232775387
5	3.224293299
6	3.216764766
7	3.208802182
8	3.201237545
9	3.193182398
10	3.185615558
11	3.178020276
12	3.170585368
13	3.163030904
14	3.156006174
15	3.14953172
16	3.141802929
17	3.1352612
18	3.128373813
19	3.122567837
20	3.115827346
21	3.109560065
22	3.103049451
23	3.097082325
24	3.090607414
25	3.08427189
26	3.078291912
27	3.07237103
28	3.066296225
29	3.060599508
30	3.054608046
31	3.049397617
32	3.043096358
33	3.037373367
34	3.031755282
35	3.026812722
36	3.021614044
37	3.016334412
38	3.011294633
39	3.006669409
40	3.002010754
41	2.996569256
42	2.991935537
43	2.986811937
44	2.982095478
45	2.977250748
46	2.972428995
47	2.967874727
48	2.963659036
49	2.959183373
50	2.954900144
51	2.95042902
52	2.945971138
53	2.941788723
54	2.937843386
55	2.933790409
56	2.929902516
57	2.925981921
58	2.922064875
59	2.918255762
60	2.914417838
61	2.910682233
62	2.907335584
63	2.903407251
64	2.899645743
65	2.896161433
66	2.892650451
67	2.889160536
68	2.885999429
69	2.88289403
70	2.879784631
71	2.876300342
72	2.872842309
73	2.869833052
74	2.86644971
75	2.863260372
76	2.860618109
77	2.857682712
78	2.854573813
79	2.851773236
80	2.848924734
81	2.846312742
82	2.843642805
83	2.840974727
84	2.838433679
85	2.835422833
86	2.832623406
87	2.830056445
88	2.827716046
89	2.82530432
90	2.822658111
91	2.81995267
92	2.817660955
93	2.815215874
94	2.812779126
95	2.810222849
96	2.80789976
97	2.805743345
98	2.803282737
99	2.800978661
100	2.798718989
101	2.79629064
102	2.793939936
103	2.791515053
104	2.789196674
105	2.786976366
106	2.785031973
107	2.782975613
108	2.780836151
109	2.778587481
110	2.776545209
111	2.774938096
112	2.773039976
113	2.771082127
114	2.769268118
115	2.767662633
116	2.765939834
117	2.76405478
118	2.762295857
119	2.760442631
120	2.758710107
121	2.756669172
122	2.754908614
123	2.753215609
124	2.751763282
125	2.750048491
126	2.748463814
127	2.746876613
128	2.745118603
129	2.74348481
130	2.741916558
131	2.740215546
132	2.738682919
133	2.73711888
134	2.735656313
135	2.734329995
136	2.732864605
137	2.731407986
138	2.729931725
139	2.728465647
140	2.727270171
141	2.725939295
142	2.724621767
143	2.723244068
144	2.722016162
145	2.720806621
146	2.719534442
147	2.718310217
148	2.716944007
149	2.715713406
150	2.714487869
151	2.713200811
152	2.712052248
153	2.710805699
154	2.709592539
155	2.708156926
156	2.706754866
157	2.705744515
158	2.704446707
159	2.703100487
160	2.702070402
161	2.701110919
162	2.700040108
163	2.699011603
164	2.697946272
165	2.696805923
166	2.695612243
167	2.694606428
168	2.693299818
169	2.692136302
170	2.691156395
171	2.690137682
172	2.688990256
173	2.687913791
174	2.686613959
175	2.685780418
176	2.684959968
177	2.684193002
178	2.683112576
179	2.682199803
180	2.681246134
181	2.68021504
182	2.679239845
183	2.678213031
184	2.677190371
185	2.676291422
186	2.675424036
187	2.674313226
188	2.673342329
189	2.672351084
190	2.671734729
191	2.671078678
192	2.670346907
193	2.669612498
194	2.668876725
195	2.667943965
196	2.667121713
197	2.66643765
198	2.665744785
199	2.664906498
200	2.663925032
201	2.662964452
202	2.662054438
203	2.661313517
204	2.660522348
205	2.659888847
206	2.659136045
207	2.658307702
208	2.657610759
209	2.656849384
210	2.656062702
211	2.655188912
212	2.654280818
213	2.653502303
214	2.652776533
215	2.651884306
216	2.651165509
217	2.650466702
218	2.64985893
219	2.648985214
220	2.648142832
221	2.647519997
222	2.646778167
223	2.646226012
224	2.645681532
