iter	Passed	Remaining
0	138	68999
1	139	34743
2	141	23377
3	142	17699
4	144	14259
5	145	11974
6	146	10325
7	147	9097
8	149	8138
9	150	7365
10	151	6748
11	153	6222
12	154	5781
13	155	5413
14	157	5087
15	158	4801
16	160	4554
17	161	4329
18	163	4130
19	164	3953
20	166	3789
21	168	3662
22	170	3544
23	173	3443
24	175	3341
25	177	3238
26	179	3136
27	180	3046
28	182	2957
29	183	2871
30	184	2794
31	186	2721
32	188	2661
33	189	2596
34	190	2533
35	192	2475
36	193	2418
37	194	2366
38	195	2316
39	197	2267
40	198	2220
41	199	2180
42	201	2140
43	202	2103
44	204	2065
45	205	2031
46	207	1997
47	208	1965
48	210	1932
49	211	1901
50	212	1871
51	214	1844
52	215	1817
53	216	1790
54	218	1765
55	219	1740
56	220	1717
57	222	1693
58	223	1671
59	224	1647
60	225	1626
61	227	1605
62	228	1585
63	230	1567
64	231	1549
65	233	1533
66	234	1516
67	236	1500
68	237	1483
69	239	1468
70	240	1453
71	241	1437
72	243	1423
73	245	1411
74	246	1397
75	247	1383
76	249	1372
77	251	1359
78	252	1346
79	254	1334
80	255	1322
81	257	1311
82	258	1299
83	260	1288
84	261	1276
85	262	1265
86	264	1254
87	265	1244
88	267	1233
89	268	1223
90	270	1213
91	271	1203
92	273	1194
93	274	1184
94	275	1175
95	277	1165
96	278	1156
97	279	1148
98	281	1140
99	283	1132
100	284	1122
101	285	1114
102	287	1108
103	289	1101
104	290	1092
105	292	1085
106	293	1077
107	294	1070
108	296	1063
109	298	1056
110	299	1049
111	301	1043
112	302	1036
113	304	1029
114	305	1023
115	307	1016
116	308	1010
117	310	1004
118	311	997
119	313	991
120	314	986
121	316	980
122	318	974
123	319	969
124	321	963
125	322	957
126	324	952
127	325	946
128	327	940
129	328	935
130	330	930
131	331	925
132	333	920
133	335	915
134	337	911
135	338	906
136	340	901
137	342	897
138	344	894
139	346	890
140	347	885
141	349	881
142	351	877
143	352	872
144	354	868
145	356	863
146	357	858
147	359	854
148	360	849
149	362	845
150	363	841
151	365	836
152	367	832
153	368	828
154	370	824
155	371	820
156	373	816
157	375	812
158	376	808
159	378	804
160	380	800
161	381	796
162	383	793
163	385	789
164	387	786
165	388	782
166	389	777
167	391	774
168	393	770
169	394	766
170	396	762
171	397	758
172	399	754
173	400	750
174	401	745
175	402	741
176	404	737
177	405	733
178	407	730
179	409	727
180	410	724
181	412	721
182	414	717
183	415	714
