PredictedDecile,Count,MeanActual,MeanPredicted,ActualRevenue,PredictedRevenue,RevenueError_%
1,56,62.49857142857143,69.65248922471832,3499.92,3900.5393965842263,11.446530108808952
2,56,148.82160714285715,134.6153151289308,8334.01,7538.457647220124,9.545853110085972
3,55,147.45509090909093,199.127562078165,8110.030000000001,10952.015914299074,35.04285328536483
4,56,202.48464285714286,259.36519896272364,11339.14,14524.451141912523,28.09129388924137
5,55,301.4087272727273,327.06864140031325,16577.48,17988.77527701723,8.513328183880969
6,56,365.2085714285714,411.2972092438409,20451.68,23032.64371765509,12.619812737413696
7,55,548.5549090909091,508.05090978213116,30170.52,27942.800038017213,7.383763892643508
8,56,670.1503571428572,688.7012152191191,37528.42,38567.26805227067,2.768163573821318
9,55,1402.2005454545454,1126.9406490662232,77121.03,61981.735698642275,19.630565490836577
10,56,5101.189285714286,4216.826428651866,285666.6,236142.2800045045,17.336405444492108
