Model,RMSE,MAE,MSE,R2,WAPE_%,sMAPE_%,Revenue_Error_%,Actual_Total,Predicted_Total,Order,Seasonal_Order,AIC
SARIMA,57057.60978973488,48227.70592429092,3255570834.9176497,-0.169103750047509,18.290977386593962,19.886470198141627,12.773281451912771,3164032.5109999995,2759881.7331399466,"(1, 1, 0)","(1, 1, 0, 4)",368.45398389100274
XGBoost_Lag,73746.81806000038,50759.168729166675,5438593173.974799,-0.9530460239049157,19.25106719454945,19.541882723349513,11.589048460317782,3164032.5109999995,2797351.25,,,
Naive,76669.11967175541,59468.710916666685,5878153911.241952,-1.1108961007027918,22.554273020869108,23.494084197033217,21.094249464240097,3164032.5109999995,2496603.5999999996,,,
ARIMA,88048.27480349256,70681.50588973514,7752498695.871343,-1.7839895849819136,26.806869642712776,28.919357569082443,26.51195737774233,3164032.5109999995,2325185.5602657693,"(1, 1, 0)",,408.72608474030835
RandomForest_Lag,112785.31423921017,80582.32858493907,12720527108.037386,-3.5680517177147166,30.56188391419689,34.774289606136406,27.99970665394903,3164032.5109999995,2278112.689484422,,,
HoltWinters_s13,112934.62722570423,97347.90754356264,12754230026.608774,-3.58015472836549,36.920445237572714,50.81022435550059,36.9204452375727,3164032.5109999995,1995857.6204772482,,,
MovingAverage_4,118192.46503364954,105758.15091666668,13969458790.73047,-4.016553927566515,40.110138141371344,48.06018890564911,40.110138141371316,3164032.5109999995,1894934.7000000002,,,
MovingAverage_8,118745.01807393847,106375.31204166666,14100379317.379974,-4.0635686252725165,40.3442044309639,48.42612603388327,40.344204430963885,3164032.5109999995,1887528.7665,,,
Holt,122352.27385911612,110897.01813939714,14970078918.49615,-4.375885302327852,42.059119590151575,51.18864837507125,42.059119590151575,3164032.5109999995,1833268.293327234,,,
HoltWinters_s4,123684.30937070514,101315.12061575004,15297808384.5083,-4.493575798755206,38.42506178941727,49.41055045067164,38.425061789417256,3164032.5109999995,1948251.0636109994,,,
MovingAverage_12,126292.6422098345,114739.52750000001,15949831476.341272,-4.72772295156897,43.51644065644685,53.49572006890194,43.516440656446825,3164032.5109999995,1787158.1810000003,,,
SES,160239.22591595913,151300.81697310085,25676609522.145794,-8.22069339081223,57.38277964480785,78.36677983614338,57.38277964480785,3164032.5109999995,1348422.7073227894,,,
